지역,공원면적,공원수,인구,면적,면적비율,인당면적
강남구,3626398.5,7,544055,39500000.0,9.180755696202532,6.66549981159993
강동구,1526389.3,7,463998,24590000.0,6.207357869052461,3.289646291578843
강북구,3714902.4,4,311569,23600000.0,15.74111186440678,11.923209305161938
강서구,2194154.1,9,585901,41440000.0,5.294773407335908,3.744922947733491
관악구,10431453.08,2,509803,29570000.0,35.27714940818397,20.461733414671944
광진구,584002.0,2,360109,17060000.0,3.423223915592028,1.6217367519278885
구로구,1617657.0,4,432488,20120000.0,8.040044731610339,3.7403511773737073
금천구,57568.0,4,247835,13020000.0,0.4421505376344086,0.23228357576613473
노원구,12024307.3,2,527032,35440000.0,33.92863233634312,22.8151370315275
도봉구,1084218.0,6,327361,20650000.0,5.250450363196126,3.3119950146779855
동대문구,458663.7,4,357014,14220000.0,3.225483122362869,1.2847218876570667
동작구,3706739.0999999996,7,401572,16350000.000000002,22.6711871559633,9.230571603597859
마포구,2685112.6999999997,5,381858,23850000.0,11.258334171907755,7.031704717460417
서대문구,3321476.62,4,322952,17630000.0,18.839912762336926,10.28473773192301
서초구,13359636.0,6,429025,46980000.0,28.43685823754789,31.139527999533826
성동구,626838.7,5,300505,16860000.0,3.7179045077105575,2.0859509825127702
성북구,1198327.0,3,447056,24580000.0,4.875211554109032,2.680485218854014
송파구,2838992.8,7,673926,33870000.0,8.3820277531739,4.212618002570014
양천구,1203428.5,5,457781,17410000.0,6.912283170591614,2.628830161146924
영등포구,424446.0,5,407367,24550000.0,1.7289042769857432,1.0419253400496358
용산구,247194.1,2,244645,21870000.0,1.1302885230909923,1.0104195875656563
은평구,2986459.0,7,484043,29710000.0,10.052032985526758,6.169821689395364
종로구,3907680.57,12,158996,23910000.0,16.343289711417818,24.57722565347556
중구,2943303.8000000003,4,134635,9960000.0,29.551242971887554,21.861357002265386
중랑구,7078975.0,6,399562,18500000.0,38.26472972972973,17.716837436993508
